musteri_id,isim,cinsiyet,yas,sehir,harcama_miktari
2647,Tuğçe,Erkek,38,Gaziantep,4306.97
8578,Görsev,Erkek,67,Bursa,2512.59
6818,Sejda,Kadın,53,Ankara,877.08
4643,Hazrat,Erkek,21,Ankara,1003.17
9315,Pekkan,Erkek,38,Gaziantep,2536.29
2813,Asiman,Erkek,61,Bursa,2594.31
4187,Serol,Kadın,34,Gaziantep,2176.18
9450,Uludağ,Kadın,51,İzmir,1207.35
4504,Olca,Kadın,33,Konya,1281.29
6744,Cezayir,Kadın,69,İzmir,3150.53
3791,Zülbiye,Erkek,19,Konya,1923.97
1054,Yurtseven,Kadın,25,Gaziantep,1623.51
6855,Özay,Kadın,18,Antalya,2355.21
2814,Necva,Erkek,43,Gaziantep,1451.06
2386,Duyguhan,Kadın,63,Antalya,405.53
1873,Erginel,Erkek,66,İzmir,3678.24
8742,Özokçu,Kadın,22,İstanbul,1704.37
3363,Muktedir,Kadın,62,Gaziantep,1263.03
4295,Ecegül,Erkek,35,Gaziantep,2886.07
3888,Ummahani,Kadın,66,İstanbul,2869.24
4534,Atnan,Kadın,36,Ankara,2736.05
4373,Rahiye,Kadın,57,Gaziantep,3917.19
8979,Kocabaş,Erkek,54,Ankara,1055.16
7982,Yazganalp,Kadın,57,İstanbul,162.17
6010,Nebiha,Erkek,65,Gaziantep,486.79
1269,Şerafeddin,Erkek,47,Adana,2509.03
6247,Uçbeyi,Kadın,39,Gaziantep,2637.24
3237,Gökbudun,Kadın,24,İzmir,1421.26
1941,Nihan,Kadın,44,Bursa,448.97
6510,Çokan,Kadın,52,İstanbul,244.58
1231,Ferat,Kadın,58,Adana,1701.25
4231,İzgü,Erkek,31,İzmir,1380.56
8242,Sevindik,Kadın,24,İstanbul,2332.64
7144,Öngen,Kadın,62,Antalya,1552.92
1464,Mükrüme,Kadın,53,Antalya,2023.17
2986,Almus,Erkek,25,İstanbul,2493.62
7289,Nefaret,Kadın,22,Antalya,2087.18
9768,Dalkılıç,Kadın,57,Adana,2406.19
4919,Hariz,Kadın,26,Konya,661.6
2676,Aydınbey,Kadın,54,Adana,3309.09
1087,Cantez,Kadın,43,İstanbul,4122.04
1327,Beyler,Kadın,28,İzmir,1554.63
7993,Milay,Kadın,64,Adana,110.16
5122,Sümeyye,Kadın,59,İzmir,4501.99
4586,Nazlim,Kadın,47,Antalya,1005.95
6096,Feden,Erkek,37,Konya,4674.21
3162,Mengüç,Kadın,37,İstanbul,3434.79
4050,İlkim,Erkek,65,Antalya,2134.98
7013,Paksu,Kadın,67,Ankara,3085.67
8806,Baytal,Erkek,53,İstanbul,879.52
8055,Yavuz,Kadın,63,Konya,2952.47
6267,Çisem,Kadın,21,Antalya,2227.9
3910,Tanses,Kadın,45,Konya,225.3
3552,Baltaş,Erkek,55,Antalya,2952.26
5543,Menişan,Kadın,27,Antalya,4817.74
8264,Abdülsamed,Kadın,42,Bursa,4032.98
3583,Merim,Erkek,44,Ankara,4462.61
4171,Mahigül,Erkek,27,İzmir,3948.18
6683,Yahşi,Erkek,53,Gaziantep,801.63
7626,Aysuna,Erkek,51,Adana,2412.62
5681,Tunahan,Kadın,26,Adana,4540.18
5190,Çağa,Erkek,41,Konya,4001.4
4163,Elgin,Erkek,36,Gaziantep,2133.45
6533,Gilman,Erkek,64,Gaziantep,2103.81
6641,Ruhide,Erkek,65,Bursa,2503.07
8292,Ünübol,Erkek,62,Adana,3614.98
8895,Basriye,Erkek,54,Bursa,2113.54
3769,Erbay,Kadın,37,Bursa,1803.77
2187,Âdem,Erkek,62,İzmir,1776.53
2365,Beray,Erkek,68,Bursa,4806.53
4787,Canur,Kadın,22,İstanbul,2993.8
4429,Salurbay,Kadın,41,Gaziantep,2073.86
8363,Ferihan,Erkek,63,Bursa,4800.03
7245,Kete,Erkek,28,Gaziantep,3831.02
6498,İlteriş,Kadın,65,Gaziantep,135.77
7851,Benol,Erkek,53,Antalya,431.45
8042,Ticen,Kadın,48,Antalya,1643.1
6736,Metinkaya,Kadın,52,Ankara,4995.06
3970,Mücevher,Kadın,38,Ankara,2237.39
5151,Nezihi,Erkek,50,İstanbul,3615.55
8924,Mefharet,Erkek,65,Gaziantep,3543.87
9213,Refik,Kadın,51,İstanbul,3657.6
5306,N˜zamett˜n,Kadın,65,Konya,1241.17
6743,Adila,Erkek,42,İstanbul,1220.4
6519,Yurttaş,Kadın,29,Gaziantep,764.3
7137,Feraye,Erkek,59,Gaziantep,4423.4
8810,Tan,Kadın,27,İzmir,1025.04
1886,Şemsinisa,Erkek,55,İstanbul,4677.17
8680,Tagangül,Kadın,64,Konya,271.17
7253,Alparslan,Erkek,62,Konya,507.28
6706,Tezcan,Erkek,65,Gaziantep,2029.45
2464,Alabezek,Kadın,48,İzmir,2427.64
2385,Vecide,Kadın,65,İstanbul,350.64
5454,Karabaş,Erkek,40,Gaziantep,3072.86
7068,Ayülker,Erkek,44,İzmir,2931.92
4407,Çıdal,Erkek,41,Gaziantep,1900.16
8058,Cebesoy,Erkek,25,İzmir,4767.17
1818,Yurdanur,Erkek,24,Antalya,4736.46
3431,Goncafer,Kadın,28,Ankara,1837.1
6391,Yurdanur,Erkek,21,Adana,3175.32
2698,Bengibay,Erkek,44,Konya,1992.29
4109,Şamiha,Kadın,54,Antalya,1216.39
8463,Oluş,Kadın,61,İzmir,4976.79
4172,İldem,Erkek,55,Konya,3919.72
2004,Nasiba,Erkek,21,Adana,598.83
1902,Atiyye,Kadın,57,Antalya,2204.18
1167,Us,Erkek,44,Antalya,1125.66
2753,Abdülcemal,Kadın,33,Adana,1867.79
9692,Ümmahan,Erkek,61,İstanbul,3510.18
1592,Şirivan,Erkek,50,Bursa,3489.29
7217,Türknur,Kadın,38,Konya,4370.27
7665,Gökçe,Kadın,35,Adana,4936.29
1466,Sefer,Kadın,20,Bursa,2121.76
9593,Zerafet,Erkek,62,Konya,2403.29
3506,Sadiye,Erkek,65,Adana,3870.09
2147,Lezize,Erkek,29,Konya,1112.09
6806,Haliye,Erkek,55,İzmir,2776.8
8170,Özlem,Erkek,56,İstanbul,4764.88
6318,Yelesen,Kadın,50,Adana,2408.99
1250,Çağlasın,Kadın,68,Konya,3889.35
8160,İmren,Erkek,54,İzmir,965.87
1337,Yurdanur,Erkek,40,Bursa,3685.99
9412,Subutiye,Erkek,52,Konya,3089.71
2069,Çakar,Kadın,23,Gaziantep,3751.03
3453,Kefser,Kadın,23,İstanbul,4512.99
4893,Safet,Erkek,65,İzmir,126.64
8274,Özüdoğru,Kadın,59,Ankara,3429.55
2400,Andiç,Erkek,19,Adana,4206.43
3727,Akver,Erkek,41,Ankara,228.34
4517,Açılay,Kadın,27,İzmir,2403.07
4620,Mürit,Erkek,55,Antalya,1379.43
6463,Aygönenç,Erkek,47,İstanbul,398.35
5614,Uygun,Erkek,68,İstanbul,4784.55
4560,Tuğçe,Erkek,34,Gaziantep,1219.84
4532,Nasuf,Erkek,38,Antalya,4475.37
5559,Özerdinç,Erkek,29,İzmir,3916.34
3886,Nuriyet,Kadın,50,Konya,3432.4
8797,Danış,Erkek,38,Gaziantep,4215.08
9623,Oğulbaş,Erkek,41,İstanbul,3723.85
3351,Nirgül,Kadın,59,Bursa,2753.65
6980,Erem,Kadın,69,İzmir,4373.19
5942,Heyvetullah,Kadın,35,İstanbul,4262.17
6151,Ortak,Erkek,54,Adana,4530.87
4185,Ferahdiba,Kadın,42,Bursa,4420.73
4561,Emine.,Kadın,57,Antalya,2981.1
9325,Gülseren,Erkek,60,İstanbul,1651.5
5778,Artan,Erkek,18,İstanbul,1402.6
9045,Sabihe,Erkek,44,İzmir,1753.55
4850,Bellisan,Kadın,20,İstanbul,1909.48
8539,Sidar,Kadın,20,Ankara,281.8
7751,Tandoğdu,Kadın,56,Bursa,4868.87
6896,İhsan,Kadın,36,Konya,4624.78
1748,Karlukhan,Kadın,63,Bursa,4129.67
5752,Nural,Kadın,53,Konya,4556.8
1382,Tansev,Erkek,50,Gaziantep,3652.7
2842,Ensari,Erkek,67,Gaziantep,4461.41
9046,Ahat,Kadın,49,Gaziantep,4485.97
2881,Mehmed,Kadın,60,Adana,3197.09
3164,Nursim,Erkek,38,Bursa,1555.95
9634,Akbaş,Erkek,50,Konya,1485.33
7907,Yekda,Kadın,58,İstanbul,1409.13
1253,Hasbek,Kadın,24,İzmir,2007.13
1075,Altınçiçek,Erkek,25,Gaziantep,3225.6
3199,Serfinaz,Kadın,33,İstanbul,4641.41
5522,Asiman,Erkek,44,Adana,2421.5
3636,Günser,Kadın,33,İzmir,3462.36
1985,Kerime,Kadın,33,Konya,2940.06
3500,Altınbike,Kadın,59,Ankara,3209.53
5739,Cansin,Kadın,53,Bursa,3535.63
7569,Ayşan,Kadın,52,Konya,2300.33
2829,Nurşan,Erkek,55,İzmir,3198.23
2615,Barak,Erkek,19,Konya,2072.72
7392,Mahigül,Kadın,49,Gaziantep,715.84
8840,Söyler,Erkek,68,İzmir,4718.29
3366,Mehmetzahir,Kadın,28,Antalya,3308.69
1267,Güngördü,Kadın,63,Bursa,3713.3
6167,Vahittin,Kadın,29,Adana,4382.73
7885,Yazgül,Erkek,37,Ankara,3265.73
5499,Candeniz,Kadın,44,İstanbul,764.99
2114,Müşüre,Kadın,44,Gaziantep,853.47
9605,Âdem,Kadın,55,Konya,4081.81
1068,Abdulmenaf,Erkek,32,Adana,2559.87
5872,Zihni,Kadın,25,Bursa,1319.36
5722,Sebigül,Erkek,29,İzmir,2107.84
3384,Bilgütay,Erkek,57,İstanbul,3906.62
8712,Feza,Kadın,63,Konya,2754.25
1871,Vecide,Erkek,55,Antalya,4000.8
9057,Nazıdil,Kadın,29,Bursa,4627.02
7913,Müşüre,Kadın,40,Ankara,1941.22
6254,Limon,Kadın,61,Gaziantep,1444.96
8543,Şahinbey,Kadın,52,Bursa,3886.15
8226,Revza,Erkek,37,Konya,2707.39
5402,Gülbani,Kadın,42,Antalya,4594.41
2328,Göken,Kadın,58,Ankara,4266.38
3070,Melihcan,Kadın,37,İstanbul,4609.88
9127,Tuyuğ,Kadın,30,Bursa,4921.41
3085,Özerdinç,Kadın,23,Gaziantep,167.64
8697,Avşin,Kadın,55,Ankara,2085.14
5399,Baturay,Erkek,66,İzmir,4462.5
1310,Paker,Kadın,54,Bursa,2582.89
1174,Güngören,Kadın,62,Bursa,4077.9
8318,Benice,Erkek,65,Ankara,4284.14
6541,Börteçin,Kadın,18,İzmir,3851.84
1581,Simber,Kadın,69,Gaziantep,2505.96
4897,Arıpınar,Kadın,33,Antalya,1184.49
2274,Atılgan,Kadın,56,Bursa,2196.52
4061,Anargül,Kadın,52,Ankara,2542.72
7437,Rezin,Kadın,49,Antalya,1660.54
5797,Duha,Erkek,44,Konya,2518.98
9995,Eroğul,Kadın,54,İstanbul,3136.01
5341,Nural,Erkek,37,Adana,3221.46
9531,Hüsnühâl,Erkek,67,Gaziantep,2286.26
3482,Konguralp,Kadın,40,Bursa,3297.12
8053,Toğan,Erkek,52,Bursa,2737.08
5712,Mehmed,Kadın,25,Antalya,1072.14
3274,Muhammet,Erkek,64,İzmir,2421.28
5656,Emine.,Erkek,59,İstanbul,602.42
2661,Yurdaser,Kadın,55,Ankara,1519.53
5494,Dayar,Erkek,44,İstanbul,3004.84
8034,Koldan,Erkek,33,Antalya,293.96
4661,Alsoy,Erkek,66,Konya,2690.08
5381,Satrettin,Kadın,50,Gaziantep,2171.53
9443,Gökçil,Kadın,42,Ankara,333.6
7301,Cedide,Erkek,32,İstanbul,4337.61
9248,Çıdal,Erkek,31,Konya,3476.2
1290,Özinal,Kadın,52,Bursa,3393.69
5537,Eşim,Erkek,51,İstanbul,894.0
7343,Mihriye,Kadın,39,İzmir,4034.22
4808,Aykutalp,Kadın,45,Bursa,3308.49
2011,Durdali,Erkek,68,Ankara,1853.04
5682,Sayin,Kadın,27,Konya,4140.86
5582,Omaca,Kadın,29,İzmir,946.86
5382,Ahsen,Kadın,27,Konya,646.28
6460,Erkinel,Erkek,19,İstanbul,3177.38
9967,Feyruz,Erkek,22,Gaziantep,1516.87
7759,Simber,Erkek,26,Antalya,3444.12
6253,Abid,Kadın,32,Ankara,2373.04
5253,Süsen,Kadın,34,İzmir,888.22
6265,İmren,Kadın,41,İzmir,4413.7
5049,Gülay,Kadın,37,İzmir,527.96
5441,Berkal,Erkek,44,İstanbul,1409.67
4290,Nuretdin,Erkek,65,Gaziantep,2424.4
3612,Harbinaz,Erkek,60,Bursa,247.47
6455,Öge,Erkek,18,Ankara,3234.37
4298,Kaygusuz,Erkek,60,Gaziantep,3174.89
1713,Tandoğdu,Erkek,30,Gaziantep,678.85
9141,Yetişal,Kadın,25,İstanbul,4062.44
9759,Avunç,Erkek,56,Ankara,2132.14
7230,Atnan,Kadın,28,Bursa,4446.4
1109,Fermuta,Kadın,59,Bursa,2285.51
1880,Başay,Erkek,47,İstanbul,3599.52
9295,Aynilhayat,Erkek,31,Bursa,4375.48
2973,Aclan,Erkek,27,Adana,2510.1
7507,Zülgarni,Kadın,47,İstanbul,1935.99
1246,Yolal,Erkek,41,İstanbul,1593.03
8057,Bediriye,Erkek,69,Adana,4580.81
6439,Burç,Kadın,22,İstanbul,3281.17
4901,Hudavent,Kadın,63,Konya,1640.34
6030,Sejda,Kadın,30,Ankara,916.06
9826,Paye,Kadın,52,Bursa,672.76
1446,Sıylıhan,Erkek,48,Antalya,2704.42
9279,Oguş,Kadın,68,Ankara,797.38
2179,Arıel,Erkek,68,İstanbul,4208.58
7644,Çavuldur,Erkek,21,Antalya,1638.32
7324,Üsame,Kadın,46,Antalya,594.74
3536,Sargın,Kadın,19,Adana,3026.99
4704,İncifir,Erkek,66,İzmir,3684.17
4209,Yağızkurt,Kadın,56,Gaziantep,2610.64
5880,Salurbay,Erkek,68,İzmir,2560.38
9738,Aliihsan,Erkek,37,Konya,840.02
4216,Meleknur,Kadın,57,Konya,1519.03
5604,Muhyettin,Kadın,57,İzmir,3207.15
5350,Kerime,Kadın,55,Konya,3329.32
8623,Akar,Kadın,68,Bursa,2063.09
3580,Behiza,Erkek,65,İstanbul,1490.46
9063,Tuğçe,Kadın,22,Gaziantep,936.5
3007,Kızıl,Kadın,56,Bursa,4639.28
6419,Atasagun,Erkek,36,İzmir,1554.68
7352,Uluman,Kadın,27,İstanbul,4219.63
9448,Çokan,Erkek,45,İstanbul,3852.63
3076,Turabi,Kadın,47,Gaziantep,4491.93
4701,Atilhan,Kadın,24,Antalya,518.1
1963,Tunguç,Erkek,69,Bursa,2171.41
8930,İşcan,Erkek,57,Gaziantep,486.54
7773,Çağlasın,Erkek,21,Gaziantep,408.76
7732,Edaviye,Kadın,68,Konya,3539.68
4612,Şenkal,Erkek,32,İzmir,991.6
5152,Bünyamün,Erkek,66,İzmir,796.76
7399,Cevale,Erkek,52,Adana,2303.32
1524,Özdil,Kadın,43,İstanbul,4069.68
1114,Mengüç,Kadın,52,Gaziantep,1794.9
1389,Zaliha,Erkek,31,Gaziantep,2477.29
8567,Aylil,Kadın,54,İstanbul,2654.32
2680,Uzbay,Erkek,29,Ankara,651.07
1332,Selmin,Erkek,29,Ankara,3378.26
4658,Alcan,Erkek,58,Bursa,289.36
4591,Atanur,Erkek,36,İstanbul,850.9
4433,Gülağa,Erkek,61,İzmir,313.17
3359,Atanur,Kadın,22,İstanbul,3003.31
4934,Ersel,Kadın,65,Bursa,156.37
5827,Şendoğan,Erkek,19,Gaziantep,3030.33
1704,Üstün,Erkek,62,Gaziantep,4097.13
6060,Hekime,Erkek,34,Ankara,3781.88
8983,Sayin,Erkek,52,Ankara,3611.03
2790,Adila,Kadın,29,Ankara,2865.12
9700,İmren,Erkek,39,Adana,3605.01
8139,Gabel,Kadın,38,Antalya,2190.32
2554,Pesent,Kadın,31,İstanbul,1459.47
2486,Kibar,Kadın,56,Antalya,1064.48
5250,Efil,Erkek,27,Antalya,2682.0
6360,Bilginur,Erkek,50,Gaziantep,2188.09
6738,Toktuğ,Kadın,28,Konya,1517.51
3245,Aksoy,Erkek,48,Gaziantep,326.78
7357,Nirgül,Erkek,57,Adana,3471.07
2681,Remazan,Erkek,54,Adana,326.74
4282,Canal,Kadın,65,Gaziantep,111.92
2588,Ömür,Kadın,32,Gaziantep,3588.53
5659,Vahittin,Erkek,60,İstanbul,2961.43
7777,Oranlı,Kadın,39,Adana,3828.72
6140,Erbil,Kadın,24,Antalya,674.86
3998,Uçan,Kadın,48,İstanbul,1708.52
2463,Sayin,Erkek,25,Ankara,2669.62
8547,Ergül,Kadın,50,İstanbul,283.64
1059,Paye,Erkek,24,İzmir,1068.38
6757,Özkutlu,Kadın,40,Bursa,1381.9
2646,Çeviköz,Erkek,52,Antalya,1180.23
9222,Ziyaettin,Erkek,53,Bursa,2662.66
6068,Korugan,Kadın,69,İzmir,252.25
7954,Abdulsemet,Kadın,48,Ankara,4640.5
7453,Göknur,Kadın,68,Gaziantep,3352.44
6475,Sudi,Kadın,53,İzmir,724.88
7808,Aksöğüt,Erkek,43,İstanbul,522.52
5108,Zelha,Erkek,69,Ankara,1192.9
5233,Banü,Erkek,51,Antalya,1899.02
1820,Özbilge,Erkek,41,İzmir,4833.35
3775,Kutgün,Kadın,69,İzmir,714.1
9697,Uygun,Erkek,55,Antalya,4941.64
6754,Uçan,Erkek,56,Bursa,3120.01
3556,Yaltırak,Erkek,31,İzmir,4343.33
3870,Günaydin,Erkek,43,Konya,1084.75
1423,Sıylıhan,Kadın,39,İzmir,1012.97
4777,Çağdan,Erkek,19,Gaziantep,1456.41
8846,Tekbay,Kadın,23,İzmir,4083.98
3176,Vafir,Erkek,19,Konya,1751.25
9673,Muratcan,Erkek,65,Adana,2207.01
9659,Urhan,Kadın,62,Bursa,2392.53
8710,Boğatimur,Kadın,51,Ankara,2174.69
7061,Erensoy,Kadın,52,Ankara,3285.96
6258,Boztaş,Kadın,43,İstanbul,2692.37
7745,Nades,Kadın,48,Konya,4853.28
1561,Eröz,Erkek,24,Bursa,3700.39
1406,Elhan,Erkek,33,Adana,2845.07
1264,Algış,Kadın,30,Antalya,1336.94
9139,Boğatimur,Kadın,64,Konya,3798.54
9645,Fuzuli,Kadın,65,İzmir,1132.76
4899,Teknaz,Kadın,59,Gaziantep,4016.78
8460,Abdülkerim,Erkek,34,Adana,3795.38
6967,Sümeyye,Erkek,61,Ankara,1139.03
5698,Ertün,Kadın,55,Ankara,1191.41
2152,İlbek,Kadın,69,Adana,1155.98
7678,Uzsoy,Erkek,18,İstanbul,4970.7
6113,Emal,Erkek,52,İstanbul,304.41
3515,Kutay,Erkek,20,Antalya,304.84
9782,Abdurrahman,Erkek,25,Konya,1795.64
7902,Taciddin,Kadın,38,Antalya,158.4
2407,Karabaş,Kadın,19,Bursa,3766.32
3648,Arıpınar,Erkek,69,İzmir,2394.12
5368,Gülözge,Erkek,45,İstanbul,2377.44
1103,Tuğtaş,Erkek,59,Gaziantep,2829.85
2416,Berkal,Kadın,33,Konya,2819.98
1356,Nevsale,Kadın,44,Bursa,3492.32
6592,Aysoy,Kadın,54,İzmir,1580.85
8211,Seyithan,Kadın,49,Gaziantep,954.97
1646,Taciddin,Erkek,64,İstanbul,418.55
9860,Selime,Kadın,24,Bursa,4597.67
7194,Müjde,Erkek,23,Ankara,4205.5
3602,Gözel,Erkek,61,Antalya,3115.44
4222,Sayrak,Erkek,40,Antalya,1941.95
1484,Mestur,Kadın,43,Bursa,2955.64
9274,Gülter,Kadın,58,Ankara,3309.49
4608,Selâtin,Erkek,51,Konya,2923.6
6816,Ercihan,Kadın,24,Ankara,650.29
6445,Dündaralp,Kadın,54,Gaziantep,1775.91
3809,Ozansü,Kadın,21,Adana,3822.57
1170,Bilginur,Erkek,63,Antalya,3675.99
9712,Egenur,Kadın,59,İzmir,4086.37
3008,Erdemer,Kadın,46,Bursa,3103.73
8756,Çetinsu,Kadın,51,Antalya,1721.47
7747,Ildız,Erkek,45,Konya,1339.67
2895,Gülel,Kadın,62,Gaziantep,4770.99
7970,Sidar,Kadın,69,Adana,1927.66
7778,Tan,Kadın,65,Antalya,2155.78
2822,Hıfzullah,Kadın,32,Bursa,3791.99
5972,Zeride,Erkek,67,Bursa,3940.84
2930,Süleyla,Erkek,39,Konya,3571.17
1987,Aytuna,Erkek,22,Ankara,1707.58
6514,Abdülahat,Kadın,28,Konya,4861.75
3555,Aygutalp,Kadın,61,İzmir,4898.84
5154,Umuşan,Kadın,58,Antalya,1513.48
2778,Gözel,Erkek,42,Ankara,384.56
4332,Talibe,Kadın,41,Gaziantep,2981.18
6221,Uğan,Erkek,39,İstanbul,1410.24
3103,Ufukay,Erkek,37,İstanbul,2184.11
3513,Maynur,Erkek,53,Gaziantep,549.06
4377,Bünyamün,Kadın,19,Konya,537.95
2312,Çelikyürek,Kadın,41,Antalya,4636.26
2045,Özkutlu,Kadın,59,Adana,4014.35
9671,Çetinsu,Erkek,39,İzmir,1250.34
8454,Alsoy,Kadın,30,İstanbul,3104.84
2098,Muratcan,Erkek,37,Ankara,4499.26
7616,Ünlen,Kadın,45,İstanbul,1256.67
2454,Erseç,Erkek,40,Konya,253.16
8659,Köker,Erkek,43,Konya,4517.92
2880,Eşref,Erkek,24,İstanbul,4516.11
9977,Işın,Kadın,30,Antalya,2255.52
8966,Sultane,Erkek,20,Konya,3559.76
9876,Mezide,Erkek,29,Ankara,2335.56
5044,Oguş,Erkek,34,İzmir,4957.31
1540,Selâtin,Erkek,57,Antalya,1727.51
1966,Ramadan,Erkek,28,Bursa,4163.75
8821,Sadeti,Erkek,25,İstanbul,114.16
6338,Göknur,Erkek,51,Gaziantep,479.37
4713,Ballı,Erkek,69,Antalya,4430.16
9517,Ekber,Kadın,39,Konya,4821.95
1895,Şirivan,Erkek,22,Adana,3478.36
5128,Huban,Erkek,38,İzmir,361.93
7139,Başhan,Kadın,38,Gaziantep,1768.31
8272,N˜zamett˜n,Kadın,53,Bursa,2401.21
9475,Eba,Erkek,19,Gaziantep,2420.49
8618,Sahir,Kadın,42,İzmir,3517.57
6496,Zubeyde,Kadın,66,İzmir,622.02
9616,Cevheri,Kadın,58,Bursa,3066.13
3836,Gülfeza,Erkek,32,İstanbul,2618.21
4087,Aypar,Erkek,29,Gaziantep,1957.27
1034,Odkanlı,Erkek,39,İstanbul,3117.82
1870,Irıs,Erkek,57,Adana,2396.61
